Year,Population
1500,503051104
1600,516147616
1700,595456896
1710,617975872
1720,648184768
1730,670899968
1740,702227776
1750,753279296
1760,788254976
1770,827951488
1780,900945152
1790,942261696
1800,954892352
1810,1028932352
1820,1065623616
1830,1148205440
1840,1209754496
1850,1287033856
1860,1346093952
1870,1346763136
1880,1427718912
1890,1548405760
1900,1670635648
1910,1800219392
1920,1927857152
1930,2106406144
1940,2328460032
1950,2493092801
1951,2536926981
1952,2584086282
1953,2634106196
1954,2685894824
1955,2740213742
1956,2795409946
1957,2852618291
1958,2911249598
1959,2965950296
1960,3015470858
1961,3064869609
1962,3123374259
1963,3192807773
1964,3264487295
1965,3334533671
1966,3404041061
1967,3473412825
1968,3545187204
1969,3619491543
1970,3694683753
1971,3769847803
1972,3844917635
1973,3920804971
1974,3996416050
1975,4070735208
1976,4144246343
1977,4217863768
1978,4292097452
1979,4368539442
1980,4447606162
1981,4528777252
1982,4612673388
1983,4697327540
1984,4782175455
1985,4868943409
1986,4958072773
1987,5049746328
1988,5141992501
1989,5234431681
1990,5327803039
1991,5418735854
1992,5505989763
1993,5591544754
1994,5675551219
1995,5758878939
1996,5842055673
1997,5924787768
1998,6007066661
1999,6089006306
2000,6171702952
2001,6254936409
2002,6337730260
2003,6420361599
2004,6503377733
2005,6586970109
2006,6671451961
2007,6757308732
2008,6844457620
2009,6932766373
2010,7021732097
2011,7110923706
2012,7201202442
2013,7291793521
2014,7381616193
2015,7470491849
2016,7558554482
2017,7645617937
2018,7729902735
2019,7811293646
2020,7887001253
2021,7954448327
2022,8021407128
2023,8091734853
2025,8231613070
2026,8300678395
2027,8369094344
2028,8436618886
2029,8503285323
2030,8569124911
2031,8634119333
2032,8698229812
2033,8761449081
2034,8823784909
2035,8885210181
2036,8945686614
2037,9005152624
2038,9063572926
2039,9120928380
2040,9177190203
2041,9232281575
2042,9286110371
2043,9338661314
2044,9389873693
2045,9439639668
2046,9487889604
2047,9534545977
2048,9579536043
2049,9622824029
2050,9664378587
2051,9704192304
2052,9742264515
2053,9778614614
2054,9813251659
2055,9846237570
2056,9877680392
2057,9907637193
2058,9936164379
2059,9963337082
2060,9989232292
2061,10013916213
2062,10037466600
2063,10059950035
2064,10081402737
2065,10101849561
2066,10121317107
2067,10139808361
2068,10157301941
2069,10173782135
2070,10189241959
2071,10203681568
2072,10217055169
2073,10229327824
2074,10240485056
2075,10250496432
2076,10259351432
2077,10267045023
2078,10273556322
2079,10278887473
2080,10283078029
2081,10286161735
2082,10288205050
2083,10289247323
2084,10289315244
2085,10288456599
2086,10286708360
2087,10284111374
2088,10280704572
2089,10276518280
2090,10271565070
2091,10265861714
2092,10259408375
2093,10252184759
2094,10244185837
2095,10235403601
2096,10225850874
2097,10215549310
2098,10204489862
2099,10192689066
2100,10180160751
